PARCEL ID,PROPERTY ADDRESS,USE CODE,STYLE,YEAR BUILT,"LIVING AREA 
SQFT","LAND 
ACREAGE","FY25 ASSESSED 
VALUE",SALE PRICE,SALE DATE,VILLAGE
314-041-0AE,270 COMMUNICATION WAY,343O,Condo Office,1988,1000,0,"$           214,700.00","$        220,000.00",04/21/2022,BARNS
314-041-0AI,270 COMMUNICATION WAY,343O,Condo Office,1988,1000,0,"$           157,900.00","$        165,000.00",01/20/2022,BARNS
316-080-010,187 FLINT ROCK ROAD,1010,Gambrel,1986,1346,1,"$           577,200.00","$        733,000.00",06/20/2023,BARNS
317-021-001,3660 MAIN ST./RTE 6A(BARN.),1250,Conventional,1720,5135,1.86,"$        1,961,300.00","$     2,000,000.00",03/31/2023,BARNS
319-042,126 COMMERCE ROAD,1010,Conventional,1925,915,0.15,"$           744,500.00","$        632,000.00",09/21/2023,BARNS
319-051,105 HARBOR VIEW ROAD,1010,Colonial,2001,3458,0.37,"$        2,875,300.00","$     3,325,000.00",02/24/2023,BARNS
319-117,79 LOCUST LANE,1010,Cape Cod,2007,2108,0.23,"$        1,416,700.00","$     1,495,000.00",03/31/2023,BARNS
333-003-006,115 BRENTWOOD LANE,1010,Colonial,2000,2983,1.11,"$        1,084,800.00","$     1,350,000.00",09/14/2023,BARNS
333-018,51 ALTHEA DRIVE,1010,Cape Cod,1992,2158,1,"$           826,600.00","$        766,000.00",06/20/2023,BARNS
334-007-002,41 DROMOLAND LANE,1010,Colonial,2022,2240,1.18,"$           961,700.00","$        880,000.00",03/17/2023,BARNS
334-007-003,33 DROMOLAND LANE,1300,Vacant Land,0,0,1.02,"$           203,100.00","$        199,900.00",04/29/2022,BARNS
335-008-002,3861 MAIN ST./RTE 6A(BARN.),1010,Cape Cod,1958,2666,1.03,"$           966,300.00","$        862,500.00",06/29/2023,BARNS
336-051,4084 MAIN ST./RTE 6A(BARN.),1010,Conventional,1850,3061,0.58,"$           985,000.00","$        950,000.00",06/01/2023,BARNS
349-056,90 OAKMONT ROAD,1010,Cape Cod,1983,2544,1.08,"$           843,700.00","$        960,000.00",05/17/2023,BARNS
349-077,277 MARSTONS LANE,1010,Cape Cod,1972,1732,0.85,"$           753,400.00","$        930,000.00",10/04/2023,BARNS
349-084,132 WINGFOOT DRIVE,1010,Cape Cod,1976,2506,0.91,"$        1,087,900.00","$     1,225,000.00",06/30/2023,BARNS
350-011-001,50 MARSTONS LANE,1010,Cape Cod,1850,1080,1.11,"$           478,700.00","$        520,000.00",08/18/2023,BARNS
350-038,131 COUNTRY CLUB DRIVE,1010,Ranch,1969,1978,0.98,"$           793,300.00","$        930,000.00",09/15/2023,BARNS
351-043,4428 MAIN ST./RTE 6A(BARN.),1040,Conventional,1660,3424,1.5,"$        1,264,300.00","$     1,500,000.00",11/13/2023,BARNS
352-035-00L,279 HARBOR POINT ROAD,102U,Condominium,1948,471,0,"$           502,000.00","$        555,000.00",07/28/2023,BARNS
FISCAL YEAR 2025 COMPARABLE SALES LISTINGS,,,,,,,,,,
PARCEL ID,PROPERTY ADDRESS,USE CODE,STYLE,YEAR BUILT,"LIVING AREA 
SQFT","LAND 
ACREAGE","FY25 ASSESSED 
VALUE",SALE PRICE,SALE DATE,VILLAGE
146-010-007,50 NYE ROAD,1010,Cape Cod,1997,1588,1.01,"$           611,600.00","$        640,000.00",08/18/2023,CENVIL
147-051,22 ENSIGN ROAD,1010,Ranch,1981,1056,0.47,"$           454,900.00","$        521,000.00",08/31/2023,CENVIL
148-012-001,324 NYE ROAD,1010,Modern/Contemp,1982,2368,0.49,"$           644,100.00","$        710,000.00",08/16/2023,CENVIL
148-075,102 VICTORIA STREET,1010,Ranch,1982,1446,0.37,"$           541,600.00","$        505,000.00",05/31/2023,CENVIL
149-083,186 CEDRIC ROAD,1010,Cape Cod,1999,1459,0.53,"$           603,600.00","$        629,000.00",02/10/2023,CENVIL
167-011,882 BUMPS RIVER ROAD,1010,Ranch,1969,1400,0.45,"$           530,300.00","$        530,000.00",09/07/2023,CENVIL
167-031,863 BUMPS RIVER ROAD,1010,Cape Cod,1977,1466,0.46,"$           537,600.00","$        725,000.00",11/03/2023,CENVIL
167-055,21 FIVE CORNERS ROAD,1010,Cape Cod,1890,3084,1.1,"$        1,025,200.00","$     1,125,000.00",06/16/2023,CENVIL
168-072,155 FIVE CORNERS ROAD,1010,Ranch,1970,1764,0.35,"$           575,900.00","$        475,000.00",10/23/2023,CENVIL
168-094,992 BUMPS RIVER ROAD,1010,Cape Cod,1988,2191,0.62,"$           967,800.00","$     1,175,000.00",03/08/2023,CENVIL
168-115,138 LUMBERT MILL ROAD,1010,Cape Cod,1977,1152,0.37,"$           514,100.00","$        620,000.00",11/01/2023,CENVIL
169-015-016,610 SKUNKNET ROAD,1010,Ranch,1981,1040,0.57,"$           451,100.00","$        595,000.00",02/24/2023,CENVIL
169-054,38 LIETRIM CIRCLE,1010,Ranch,1972,1420,0.34,"$           553,100.00","$        665,000.00",05/31/2023,CENVIL
169-055,53 LIETRIM CIRCLE,1010,Ranch,1972,1040,0.36,"$           438,500.00","$        520,000.00",08/11/2023,CENVIL
169-060,3 LIETRIM CIRCLE,1010,Ranch,1971,1640,0.42,"$           565,100.00","$        585,000.00",06/30/2023,CENVIL
169-130,2204 FALMOUTH ROAD/RTE 28,1010,Cape Cod,1986,1267,0.87,"$           505,800.00","$        475,000.00",03/14/2023,CENVIL
170-011,110 BUCKSKIN PATH,1010,Cape Cod,1996,1412,0.62,"$           595,100.00","$        620,000.00",08/21/2023,CENVIL
170-057-005,58 SEAN'S CIRCLE,1010,Colonial,1979,1200,0.36,"$           412,900.00","$        515,000.00",03/15/2023,CENVIL
170-079,71 GOFF TERRACE,1010,Ranch,1983,1056,0.35,"$           475,700.00","$        549,000.00",08/15/2023,CENVIL
170-105,51 ZENO CROCKER ROAD,1010,Ranch,1985,1372,0.36,"$           458,200.00","$        406,500.00",01/05/2023,CENVIL
170-178,21 MICAH HAMLIN ROAD,1010,Ranch,1995,1874,0.35,"$           762,300.00","$        685,000.00",11/08/2023,CENVIL
170-209,220 JAMES OTIS ROAD,1010,Ranch,1988,1592,0.35,"$           618,600.00","$        560,000.00",09/12/2023,CENVIL
170-210,216 JAMES OTIS ROAD,1010,Ranch,1986,2352,0.35,"$           794,700.00","$        720,000.00",12/15/2023,CENVIL
170-236,249 AMES WAY,1010,Colonial,1979,1942,0.36,"$           577,100.00","$        615,000.00",11/28/2023,CENVIL
171-058,186 SHEAFFER ROAD,1010,Ranch,1972,1612,0.34,"$           552,000.00","$        650,000.00",07/27/2023,CENVIL
171-064,195 SHEAFFER ROAD,1010,Ranch,1972,1968,0.34,"$           607,700.00","$        580,000.00",07/27/2023,CENVIL
171-069,160 GUILDFORD ROAD,1010,Ranch,1972,1196,0.34,"$           481,400.00","$        510,700.00",02/24/2023,CENVIL
171-073,45 THISTLE DRIVE,1010,Ranch,1972,1536,0.34,"$           514,000.00","$        450,000.00",10/20/2023,CENVIL
171-100,57 WARWICK WAY,1010,Ranch,1983,1840,0.34,"$           611,700.00","$        650,000.00",08/25/2023,CENVIL
171-116,255 PRINCE HINCKLEY ROAD,1010,Ranch,1980,1432,0.59,"$           590,500.00","$        530,000.00",07/28/2023,CENVIL
171-154,21 LAZARUS LOVELL ROAD,1010,Colonial,1979,1872,0.51,"$           653,900.00","$        740,000.00",08/15/2023,CENVIL
171-168,75 JAMES OTIS ROAD,1010,Ranch,1985,1432,0.35,"$           596,100.00","$        555,000.00",11/15/2023,CENVIL
171-173,348 PRINCE HINCKLEY ROAD,1010,Ranch,1984,1936,0.35,"$           677,300.00","$        624,900.00",11/21/2023,CENVIL
171-285,225 SKUNKNET ROAD,1010,Ranch,1986,1056,0.35,"$           480,300.00","$        595,000.00",09/01/2023,CENVIL
FISCAL YEAR 2025 COMPARABLE SALES LISTINGS,,,,,,,,,,
PARCEL ID,PROPERTY ADDRESS,USE CODE,STYLE,YEAR BUILT,"LIVING AREA 
SQFT","LAND 
ACREAGE","FY25 ASSESSED 
VALUE",SALE PRICE,SALE DATE,VILLAGE
172-069,99 SHEAFFER ROAD,1010,Ranch,1972,1248,0.35,"$           493,800.00","$        531,500.00",02/28/2023,CENVIL
172-070,89 SHEAFFER ROAD,1010,Cape Cod,1983,1795,0.34,"$           587,900.00","$        554,900.00",01/30/2023,CENVIL
172-084,7 GUILDFORD ROAD,1010,Ranch,1975,1504,0.35,"$           626,700.00","$        675,000.00",12/22/2023,CENVIL
172-120,20 OUTPOST LANE,1010,Ranch,1974,1224,0.38,"$           502,900.00","$        543,000.00",09/01/2023,CENVIL
172-136,118 CEDRIC ROAD,1010,Ranch,1973,1360,0.34,"$           504,800.00","$        529,000.00",12/11/2023,CENVIL
172-153,20 LESTER CIRCLE,1010,Ranch,1973,1320,0.43,"$           496,800.00","$        510,000.00",07/11/2023,CENVIL
172-170,54 WASHINGTON BURSLEY WAY,1010,Ranch,1976,1568,0.59,"$           585,100.00","$        535,000.00",03/07/2023,CENVIL
172-173,38 PRINCE HINCKLEY ROAD,1010,Cape Cod,1976,1798,0.35,"$           599,400.00","$        565,000.00",07/14/2023,CENVIL
173-009,68 OAK STREET (CENT./W.BARN),1010,Conventional,1900,1028,0.38,"$           456,300.00","$        520,000.00",12/15/2023,CENVIL
173-014-003,201 OAK STREET (CENT./W.BARN),1010,Cape Cod,1992,2017,1,"$           722,100.00","$        799,000.00",08/04/2023,CENVIL
173-084,14 GREAT HILL DRIVE,1010,Cape Cod,1984,1999,1,"$           696,500.00","$        720,000.00",03/30/2023,CENVIL
186-029-001,140 BAY LANE,1010,Ranch,1993,2429,0.89,"$        1,217,400.00","$     1,195,000.00",05/17/2023,CENVIL
186-035-001,100 BAY LANE,1010,Conventional,1968,2218,0.6,"$           970,700.00","$        850,000.00",11/06/2023,CENVIL
186-066,707 SOUTH MAIN STREET,1010,Gambrel,1962,3881,0.55,"$        2,624,100.00","$     3,500,000.00",08/24/2023,CENVIL
187-079-001,49 BEECH LEAF ISLAND ROAD,1010,Cape Cod,1993,2653,0.61,"$        1,086,100.00","$     1,300,000.00",11/15/2023,CENVIL
188-015,76 LONGFELLOW DRIVE,1010,Ranch,1966,944,0.23,"$           443,700.00","$        545,000.00",08/25/2023,CENVIL
188-021,89 EMERSON WAY,1010,Raised Ranch,1968,1100,0.23,"$           493,900.00","$        580,000.00",11/15/2023,CENVIL
188-069,681 BAY LANE,1010,Cape Cod,1961,1637,0.6,"$           653,800.00","$        890,000.00",12/20/2023,CENVIL
188-086,41 OVERLOOK DRIVE,1090,Cape Cod,1966,3056,0.58,"$           859,400.00","$        750,000.00",10/28/2022,CENVIL
188-092,96 HOLLY HILL ROAD,1010,Cape Cod,1970,1594,0.45,"$           630,800.00","$        791,900.00",06/16/2023,CENVIL
188-100,46 SCUDDER BAY CIRCLE,1010,Cape Cod,1962,954,0.41,"$           513,600.00","$        600,000.00",08/21/2023,CENVIL
188-130,9 RAINBOW DRIVE,1010,Cape Cod,1996,1976,0.46,"$           754,700.00","$        729,000.00",11/02/2023,CENVIL
188-141,43 RAINBOW DRIVE,1010,Colonial,1985,2621,0.37,"$           892,800.00","$        975,000.00",08/01/2023,CENVIL
188-154,684 BAY LANE,1010,Raised Ranch,1979,2107,1.08,"$        1,028,600.00","$     1,250,000.00",09/15/2023,CENVIL
189-012,27 STONEY CLIFF ROAD,1010,Ranch,1966,1122,0.35,"$           463,800.00","$        510,000.00",09/28/2023,CENVIL
189-042,19 SOUTH EAST LANE,1010,Ranch,1966,1128,0.35,"$           452,400.00","$        465,000.00",12/07/2023,CENVIL
189-090-002,276 FULLER ROAD,1010,Cape Cod,1999,1135,0.59,"$           529,000.00","$        500,000.00",09/13/2023,CENVIL
189-111,121 LONGFELLOW DRIVE,1010,Ranch,1966,1296,0.23,"$           511,400.00","$        575,000.00",08/07/2023,CENVIL
189-121,1309 SHOOTFLYING HILL RD,1010,Ranch,1964,1550,0.35,"$           603,900.00","$        612,000.00",10/02/2023,CENVIL
189-146,25 WEDGEWOOD DRIVE,1010,Cape Cod,1997,1814,0.4,"$           740,200.00","$        735,000.00",05/05/2023,CENVIL
190-095,1150 SHOOTFLYING HILL RD,1010,Raised Ranch,1966,2083,0.46,"$           634,700.00","$        655,000.00",12/11/2023,CENVIL
190-170,346 GREAT MARSH ROAD,1010,Ranch,1966,1064,0.24,"$           438,600.00","$        510,000.00",11/07/2023,CENVIL
191-061,700 OLD STAGE ROAD,1010,Ranch,1970,1120,0.39,"$           458,900.00","$        482,500.00",02/17/2023,CENVIL
191-072,231 KNOTTY PINE LANE,1010,Ranch,1986,988,0.7,"$           473,200.00","$        485,000.00",07/24/2023,CENVIL
FISCAL YEAR 2025 COMPARABLE SALES LISTINGS,,,,,,,,,,
PARCEL ID,PROPERTY ADDRESS,USE CODE,STYLE,YEAR BUILT,"LIVING AREA 
SQFT","LAND 
ACREAGE","FY25 ASSESSED 
VALUE",SALE PRICE,SALE DATE,VILLAGE
191-112,82 SKUNKNET ROAD,1010,Colonial,1972,2514,0.37,"$           644,200.00","$        645,000.00",11/28/2023,CENVIL
191-165,18 GLENEAGLE DRIVE,1010,Ranch,1982,1100,0.39,"$           456,500.00","$        605,000.00",11/17/2023,CENVIL
191-218,231 MONOMOY CIRCLE,1010,Ranch,1976,1235,0.34,"$           486,700.00","$        487,000.00",08/14/2023,CENVIL
192-110,17 CAPSTAN WAY,1010,Cape Cod,1986,2058,0.36,"$           698,700.00","$        780,000.00",08/25/2023,CENVIL
192-180,84 CAP'N LIJAH'S ROAD,1010,Saltbox,1976,1344,0.35,"$           709,200.00","$        702,000.00",08/17/2023,CENVIL
192-217,49 PATRIOT WAY,1010,Cape Cod,1979,864,0.38,"$           439,000.00","$        435,000.00",11/30/2023,CENVIL
192-226,119 PATRIOT WAY,1010,Cape Cod,1978,1310,0.38,"$           472,800.00","$        449,000.00",08/31/2023,CENVIL
193-018,155 HILLSIDE DRIVE,1010,Ranch,1960,1152,0.24,"$           475,400.00","$        412,000.00",04/27/2023,CENVIL
193-064,96 HAWSER BEND,1010,Cape Cod,1978,2170,0.34,"$           648,500.00","$        665,000.00",07/14/2023,CENVIL
193-066,11 MASTHEAD LANE,1010,Ranch,1977,1632,0.34,"$           596,300.00","$        600,000.00",05/31/2023,CENVIL
193-169,153 CAP'N CROSBY ROAD,1010,Ranch,1978,1344,0.42,"$           566,500.00","$        585,000.00",08/30/2023,CENVIL
193-256,15 VISTA CIRCLE,1010,Cape Cod,1986,1622,0.34,"$           576,200.00","$        660,000.00",04/20/2023,CENVIL
194-055,46 CAP'N JAC'S ROAD,1010,Ranch,1985,1248,0.47,"$           503,400.00","$        555,000.00",09/18/2023,CENVIL
206-054,1211 CRAIGVILLE BEACH ROAD,1210,Apt House,1820,2796,0.79,"$        1,024,500.00","$     1,275,000.00",10/11/2023,CENVIL
206-134,1060 CRAIGVILLE BEACH ROAD,1010,Cape Cod,1930,2726,0.2,"$        1,391,000.00","$     1,375,000.00",02/24/2023,CENVIL
207-001-003,516 SOUTH MAIN STREET,1010,Conventional,1994,2476,1.06,"$        1,293,800.00","$     1,174,500.00",05/08/2023,CENVIL
207-026,139 PARK AVENUE,1010,Conventional,1928,2130,0.36,"$           837,100.00","$        860,000.00",06/22/2023,CENVIL
207-062,288 SOUTH MAIN STREET,1040,Ranch,1935,2154,0.25,"$           641,300.00","$        572,000.00",01/13/2022,CENVIL
207-089,44 HI-ONA HILL ROAD,1010,Cape Cod,1950,1746,0.21,"$           880,900.00","$        915,000.00",12/07/2023,CENVIL
207-123,173 HORSESHOE LANE,1010,Ranch,1969,1757,0.25,"$           747,900.00","$        842,000.00",10/02/2023,CENVIL
207-160,45 WATERSIDE DRIVE,1010,Ranch,1984,1888,0.37,"$           829,300.00","$        747,000.00",02/16/2023,CENVIL
207-163,244 PARK AVENUE,1010,Modern/Contemp,1983,1570,0.8,"$           807,900.00","$        819,000.00",07/31/2023,CENVIL
208-058,120 MAIN STREET (CENT.),1090,Ranch,1922,1102,0.63,"$           587,900.00","$        505,000.00",02/17/2022,CENVIL
208-085-018,67 FERNBROOK LANE,1010,Cape Cod,1984,2462,0.81,"$        1,281,100.00","$     1,360,000.00",05/01/2023,CENVIL
208-141,22 PARTRIDGE WAY,1010,Ranch,1984,1400,0.3,"$           631,200.00","$        665,000.00",12/06/2023,CENVIL
209-038,16 LONG POND CIRCLE,1010,Ranch,1954,2225,0.81,"$        1,368,000.00","$     1,355,000.00",09/25/2023,CENVIL
209-052-001,175 OLD POST ROAD (CENT.),1010,Ranch,1985,1438,0.4,"$           557,200.00","$        625,000.00",08/18/2023,CENVIL
209-086-B03,1645 FALMOUTH ROAD/RTE 28,343O,Condo Office,1983,1064,0,"$           171,400.00","$        141,500.00",06/29/2023,CENVIL
209-086-D09,1645 FALMOUTH ROAD/RTE 28,343O,Condo Office,1983,243,0,"$             62,200.00","$          54,000.00",12/29/2022,CENVIL
209-086-E03,1645 FALMOUTH ROAD/RTE 28,343O,Condo Office,1983,477,0,"$             97,900.00","$          96,000.00",04/28/2023,CENVIL
209-115,41 JOYCE ANNE ROAD,1010,Ranch,1978,1741,0.35,"$           766,400.00","$        860,000.00",12/20/2023,CENVIL
210-092,25 HAYES ROAD,1010,Colonial,1974,1536,0.51,"$           727,400.00","$        735,000.00",08/14/2023,CENVIL
210-134-003,40 RICHARDSON ROAD,1010,Cape Cod,1996,1366,1.34,"$           560,100.00","$        575,000.00",10/26/2023,CENVIL
210-150,76 CAMP OPECHEE ROAD,1010,Conventional,1915,1098,0.16,"$           393,500.00","$        445,000.00",04/28/2023,CENVIL
FISCAL YEAR 2025 COMPARABLE SALES LISTINGS,,,,,,,,,,
PARCEL ID,PROPERTY ADDRESS,USE CODE,STYLE,YEAR BUILT,"LIVING AREA 
SQFT","LAND 
ACREAGE","FY25 ASSESSED 
VALUE",SALE PRICE,SALE DATE,VILLAGE
226-001,68 WATERMAN FARM ROAD,1010,Conventional,1925,4976,4.97,"$        4,095,500.00","$     4,225,000.00",06/29/2023,CENVIL
226-119,30 IRVING STREET,1090,Ranch,1950,1234,0.28,"$           530,100.00","$        669,000.00",05/25/2022,CENVIL
226-140-00Q,780 CRAIGVILLE BEACH ROAD #D1,102U,Condominium,2013,1952,0,"$        1,125,900.00","$     1,175,000.00",09/29/2023,CENVIL
226-169,872 CRAIGVILLE BEACH ROAD,1040,Duplex,1950,1350,0.13,"$           755,100.00","$        832,500.00",03/07/2022,CENVIL
227-089,282 ELLIOTT ROAD,1010,Cape Cod,1984,2168,0.64,"$           884,900.00","$        900,000.00",04/05/2023,CENVIL
227-124,472 ELLIOTT ROAD,1010,Ranch,1977,1860,0.98,"$           797,900.00","$        688,000.00",07/12/2023,CENVIL
227-130,48 SEA MARSH ROAD,1010,Cape Cod,1981,2248,1,"$           843,100.00","$        890,000.00",12/15/2023,CENVIL
228-113-007,20 CEDAR POINT CIRCLE,1010,Ranch,1995,1524,0.34,"$           724,900.00","$        760,000.00",07/07/2023,CENVIL
228-120,107 STANLEY WAY,1010,Cape Cod,1959,2106,0.3,"$           696,300.00","$        696,100.00",03/14/2023,CENVIL
229-064,21 SCOTTSDALE ROAD,1010,Conventional,1960,1375,0.49,"$           719,100.00","$        875,000.00",08/04/2023,CENVIL
229-074,52 HARRISON ROAD,1010,Ranch,1952,1432,0.22,"$           686,800.00","$        677,000.00",04/14/2023,CENVIL
229-120,6 SCOTTSDALE ROAD,1090,Ranch,1982,1673,0.46,"$           605,000.00","$        790,000.00",05/20/2022,CENVIL
230-142,57 BREZNER LANE,1010,Ranch,1972,1215,0.3,"$           551,200.00","$        575,400.00",08/25/2023,CENVIL
230-179,49 CAPTAIN BELLAMY LANE,1010,Cape Cod,1985,1126,0.46,"$           460,700.00","$        550,000.00",05/19/2023,CENVIL
232-039,130 HOLLY POINT ROAD,1010,Ranch,1960,1868,0.41,"$        1,385,700.00","$     1,485,000.00",05/19/2023,CENVIL
233-003,141 NYES NECK ROAD,1010,Ranch,1933,817,2.32,"$        1,268,100.00","$     1,200,000.00",03/31/2023,CENVIL
246-029,618 CRAIGVILLE BEACH ROAD,3260,Restaurant,1950,2240,0.31,"$           646,800.00","$        700,000.00",10/12/2022,CENVIL
246-035-00B,558 CRAIGVILLE BEACH ROAD,102U,Condominium,1950,378,0,"$           292,800.00","$        320,000.00",05/12/2023,CENVIL
246-035-00H,558 CRAIGVILLE BEACH ROAD,102U,Condominium,1950,420,0,"$           341,800.00","$        368,900.00",03/30/2023,CENVIL
246-065-002,16 PRISCILLA STREET,1010,Ranch,1965,1092,0.29,"$           484,900.00","$        527,000.00",04/28/2023,CENVIL
246-224,600 CRAIGVILLE BEACH ROAD,1010,Cape Cod,1914,1287,0.36,"$           519,100.00","$        495,000.00",01/23/2023,CENVIL
247-043,20 SOUND VIEW ROAD,1010,Ranch,1947,922,0.17,"$           446,800.00","$        570,000.00",03/07/2023,CENVIL
247-129,36 ADRENA AVENUE,1010,Cape Cod,1968,1414,0.3,"$           531,500.00","$        539,000.00",02/16/2023,CENVIL
247-139,143 STRAWBERRY HILL ROAD,1090,Cottage,1936,1284,0.3,"$           393,900.00","$        400,000.00",10/20/2023,CENVIL
248-139,441 OLD TOWN ROAD,1010,Colonial,1959,1968,0.26,"$           559,700.00","$        573,000.00",03/31/2023,CENVIL
249-008,114 CHILDS STREET,1010,Cape Cod,1963,1907,0.45,"$           598,800.00","$        645,000.00",10/18/2023,CENVIL
250-027-X01,1080 FALMOUTH ROAD/RTE 28,3210,Pharmacy,2004,9534,2.32,"$        4,112,900.00","$     5,200,000.00",07/07/2023,CENVIL
251-016,99 CENTER LANE,1010,Ranch,2000,2219,0.64,"$        3,149,900.00","$     3,690,000.00",12/15/2023,CENVIL
251-052,34 ANGUS WAY,1010,Ranch,1984,1736,0.34,"$           662,400.00","$        670,000.00",08/10/2023,CENVIL
251-067,19 HUCKINS NECK ROAD,1010,Ranch,1972,1436,0.25,"$           529,200.00","$        690,000.00",06/26/2023,CENVIL
252-013,49 HUCKINS NECK ROAD,1010,Ranch,1958,1224,0.27,"$           568,100.00","$        610,000.00",08/02/2023,CENVIL
252-051-017,72 CRESTVIEW CIRCLE,1010,Cape Cod,1998,1856,0.31,"$           775,700.00","$        849,000.00",05/01/2023,CENVIL
252-104,82 LAKESIDE DRIVE EAST,1010,Ranch,1972,1473,0.36,"$           669,000.00","$        799,000.00",10/11/2023,CENVIL
252-106,102 LAKESIDE DRIVE EAST,1010,Ranch,1972,1046,0.4,"$           528,300.00","$        670,000.00",05/30/2023,CENVIL
FISCAL YEAR 2025 COMPARABLE SALES LISTINGS,,,,,,,,,,
PARCEL ID,PROPERTY ADDRESS,USE CODE,STYLE,YEAR BUILT,"LIVING AREA 
SQFT","LAND 
ACREAGE","FY25 ASSESSED 
VALUE",SALE PRICE,SALE DATE,VILLAGE
252-108,136 LAKESIDE DRIVE EAST,1010,Modern/Contemp,1976,1646,0.27,"$           703,500.00","$        875,000.00",05/31/2023,CENVIL
252-151,86 COTTONWOOD LANE,1010,Ranch,1980,1144,0.23,"$           563,300.00","$        605,000.00",10/24/2023,CENVIL
002-002-031,276 PHEASANT HILL CIRCLE,1010,Ranch,2009,1476,0.23,"$           767,700.00","$        829,000.00",03/10/2023,COTUIT
002-002-059,19 OSPREY DRIVE,1010,Cape Cod,2009,1764,0.23,"$           897,000.00","$        925,000.00",08/11/2023,COTUIT
002-002-062,45 OSPREY DRIVE,1010,Ranch,2011,1476,0.23,"$           769,900.00","$        695,000.00",04/07/2023,COTUIT
002-002-080,179 PHEASANT HILL CIRCLE,1010,Ranch,2016,1486,0.23,"$           815,400.00","$        715,000.00",03/10/2023,COTUIT
002-002-085,129 PHEASANT HILL CIRCLE,1010,Ranch,2017,1486,0.21,"$           852,300.00","$        910,000.00",03/24/2023,COTUIT
002-002-103,7 SPRING BROOK LANE,1010,Ranch,2015,1744,0.3,"$           848,800.00","$        899,000.00",10/16/2023,COTUIT
005-013,131 CLAMSHELL COVE ROAD,1010,Cape Cod,1986,2144,0.63,"$           865,500.00","$        900,000.00",12/15/2023,COTUIT
005-071,180 PINQUICKSET COVE CIR,1010,Cape Cod,1981,5120,2.9,"$        4,893,700.00","$     5,300,000.00",02/24/2023,COTUIT
006-025,685 SANTUIT ROAD,1010,Ranch,1960,1020,0.75,"$           501,100.00","$        552,500.00",02/15/2023,COTUIT
006-031,30 FULLERS MARSH ROAD,1010,Ranch,1972,1032,0.94,"$           561,700.00","$        670,000.00",06/23/2023,COTUIT
016-029-004,444 VINEYARD ROAD,1010,Gambrel,2023,6554,2.42,"$        4,315,300.00","$     4,500,000.00",11/06/2023,COTUIT
018-058,62 PINE RIDGE ROAD,1010,Cape Cod,1987,2006,0.28,"$           670,200.00","$        630,000.00",04/27/2023,COTUIT
019-125,104 CHERRY TREE ROAD,1010,Cape Cod,1974,1796,0.47,"$           642,600.00","$        800,000.00",09/28/2023,COTUIT
019-137,116 CHERRY TREE ROAD,1010,Ranch,1987,1472,0.47,"$           610,600.00","$        789,000.00",09/22/2023,COTUIT
019-147,23 PAULA LANE,1010,Conventional,1974,1152,0.49,"$           513,600.00","$        500,000.00",10/18/2023,COTUIT
019-150,50 JACKSON DRIVE,1010,Colonial,1990,1792,0.57,"$           725,000.00","$        699,000.00",02/24/2023,COTUIT
020-017,19 OLD OYSTER ROAD,1010,Ranch,1974,1248,0.48,"$           582,500.00","$        735,000.00",08/04/2023,COTUIT
020-041,123 SCHOOL STREET,1010,Conventional,1931,1425,0.23,"$           881,600.00","$     1,070,000.00",10/16/2023,COTUIT
